idx,kind,type,start_x,start_y,end_x,end_y,length_m
1,curve,DegenerateBezier,0.037,-0.186,-0.403,-0.184,0.44000477046080294
2,curve,DegenerateBezier,-0.403,-0.184,-0.843,-0.183,0.4400013644913626
3,curve,DegenerateBezier,0.917,-0.188,0.477,-0.187,0.44000136449136273
4,curve,DegenerateBezier,-1.283,-0.182,-2.011,-0.179,0.7280061812947712
5,curve,DegenerateBezier,-3.751,-0.175,-4.191,-0.174,0.4400013644913626
6,curve,DegenerateBezier,0.477,-0.187,0.037,-0.186,0.4400013644913625
7,curve,DegenerateBezier,-2.011,-0.179,-2.431,-0.178,0.42000142853819644
8,curve,DegenerateBezier,-2.871,-0.177,-3.311,-0.176,0.4400013644913626
9,curve,DegenerateBezier,5.417,-0.2,4.977,-0.199,0.4400013644913622
10,curve,DegenerateBezier,5.857,-0.201,5.417,-0.2,0.44000136449136307
11,curve,DegenerateBezier,3.379,-0.194,2.939,-0.193,0.4400013644913626
12,curve,DegenerateBezier,6.297,-0.202,5.857,-0.201,0.4400013644913622
13,curve,DegenerateBezier,2.939,-0.193,2.539,-0.192,0.4000014988947156
14,curve,DegenerateBezier,5.996,1.332,5.556,1.333,0.44000136449136307
15,curve,DegenerateBezier,4.237,1.337,3.797,1.338,0.44000136449136246
16,curve,DegenerateBezier,5.556,1.333,5.116,1.334,0.44000136449136307
17,curve,DegenerateBezier,5.116,1.334,4.676,1.336,0.4400047704608025
18,curve,DegenerateBezier,4.676,1.336,4.237,1.337,0.4390013658226394
19,curve,DegenerateBezier,1.359,1.345,0.919,1.346,0.4400013644913625
20,curve,DegenerateBezier,2.239,1.343,1.799,1.344,0.44000136449136257
21,curve,DegenerateBezier,2.679,1.342,2.239,1.343,0.4400013644913626
22,curve,DegenerateBezier,1.799,1.344,1.359,1.345,0.4400013644913625
23,curve,DegenerateBezier,3.089,1.341,2.679,1.342,0.41000146440139273
24,curve,DegenerateBezier,-1.144,1.351,-1.584,1.352,0.44000136449136285
25,curve,DegenerateBezier,-0.704,1.35,-1.144,1.351,0.44000136449136257
26,curve,DegenerateBezier,-1.584,1.352,-2.024,1.353,0.4400013644913625
27,curve,DegenerateBezier,-4.022,1.36,-4.462,1.361,0.44000136449136207
28,curve,DegenerateBezier,-3.582,1.359,-4.022,1.36,0.44000136449136296
29,curve,DegenerateBezier,-3.142,1.358,-3.582,1.359,0.44000136449136246
30,curve,DegenerateBezier,-2.722,1.357,-3.142,1.358,0.42000142853819644
31,curve,DegenerateBezier,0.919,1.346,0.176,1.348,0.7430028255813712
32,curve,DegenerateBezier,-2.024,1.353,-2.722,1.357,0.698011606053058
33,curve,DegenerateBezier,-4.462,1.361,-4.902,1.362,0.44000136449136296
34,curve,DegenerateBezier,-0.264,1.349,-0.704,1.35,0.4400013644913626
35,curve,DegenerateBezier,0.176,1.348,-0.264,1.349,0.44000136449136285
36,curve,DegenerateBezier,3.797,1.338,3.089,1.341,0.7080063559036719
37,curve,DegenerateBezier,-2.431,-0.178,-2.871,-0.177,0.4400013644913626
38,curve,DegenerateBezier,-6.529,1.332,-6.529,2.765,1.433
39,curve,DegenerateBezier,-6.529,-0.193,-6.529,1.332,1.525
40,curve,DegenerateBezier,-4.191,-0.174,-6.529,-0.193,2.3380772435377786
41,curve,DegenerateBezier,-4.902,1.362,-6.529,1.332,1.6272765591834646
42,curve,DegenerateBezier,9.157,2.85,9.157,1.332,1.518
43,curve,DegenerateBezier,9.157,1.332,5.996,1.332,3.1609999999999996
44,curve,DegenerateBezier,6.737,-0.203,6.297,-0.202,0.44000136449136307
45,curve,DegenerateBezier,4.977,-0.199,4.537,-0.198,0.44000136449136307
46,curve,DegenerateBezier,4.537,-0.198,3.819,-0.195,0.718006267384549
47,curve,DegenerateBezier,3.819,-0.195,3.379,-0.194,0.4400013644913626
48,curve,DegenerateBezier,2.539,-0.192,2.099,-0.191,0.4400013644913626
49,curve,DegenerateBezier,2.099,-0.191,1.659,-0.19,0.44000136449136285
50,curve,DegenerateBezier,1.659,-0.19,0.917,-0.188,0.742002830944962
51,curve,DegenerateBezier,-3.311,-0.176,-3.751,-0.175,0.4400013644913626
52,curve,DegenerateBezier,9.157,2.85,5.996,1.332,4.191004467811193
53,curve,DegenerateBezier,9.157,1.332,6.737,-0.203,3.524931685460892
54,curve,DegenerateBezier,-4.902,1.362,-6.529,2.765,2.6382960470910812
55,curve,DegenerateBezier,-4.191,-0.174,-6.529,1.332,3.3966282631905877
56,curve,DegenerateBezier,-4.903,5.309,-2.42,5.31,2.483000241665931
57,curve,DegenerateBezier,9.157,5.34,9.157,2.85,2.4899999999999998
58,curve,DegenerateBezier,-6.529,4.356,-4.903,5.309,2.3089038075197714
59,curve,DegenerateBezier,3.122,5.323,3.572,5.324,0.45000133330273434
60,curve,DegenerateBezier,3.572,5.324,4.022,5.325,0.4500013333027344
61,curve,DegenerateBezier,4.022,5.325,4.472,5.327,0.45000466660961447
62,curve,DegenerateBezier,4.472,5.327,4.922,5.328,0.4500013333027336
63,curve,DegenerateBezier,4.922,5.328,5.372,5.329,0.4500013333027344
64,curve,DegenerateBezier,5.372,5.329,5.922,5.33,0.5500010903186632
65,curve,DegenerateBezier,5.922,5.33,6.362,5.331,0.44000136449136296
66,curve,DegenerateBezier,6.362,5.331,6.802,5.332,0.44000136449136207
67,curve,DegenerateBezier,6.802,5.332,7.242,5.333,0.440001364491363
68,curve,DegenerateBezier,7.242,5.333,7.682,5.334,0.440001364491363
69,curve,DegenerateBezier,7.682,5.334,8.122,5.335,0.44000136449136207
70,curve,DegenerateBezier,0.372,5.317,0.812,5.318,0.4400013644913627
71,curve,DegenerateBezier,0.812,5.318,1.252,5.319,0.44000136449136246
72,curve,DegenerateBezier,1.252,5.319,1.692,5.32,0.4400013644913625
73,curve,DegenerateBezier,1.692,5.32,2.132,5.321,0.44000136449136285
74,curve,DegenerateBezier,2.132,5.321,2.572,5.322,0.44000136449136257
75,curve,DegenerateBezier,2.572,5.322,3.122,5.323,0.5500010903186632
76,curve,DegenerateBezier,-2.42,5.31,-1.98,5.311,0.4400013644913624
77,curve,DegenerateBezier,-1.98,5.311,-1.54,5.312,0.44000136449136257
78,curve,DegenerateBezier,-1.54,5.312,-1.1,5.314,0.440004770460803
79,curve,DegenerateBezier,-1.1,5.314,-0.66,5.315,0.44000136449136273
80,curve,DegenerateBezier,-0.66,5.315,-0.22,5.316,0.44000136449136257
81,curve,DegenerateBezier,-0.22,5.316,0.372,5.317,0.5920010130024561
82,curve,DegenerateBezier,8.122,5.335,9.157,5.34,1.0350121738269833
83,curve,DegenerateBezier,-4.227,3.883,-3.787,3.882,0.440001364491363
84,curve,DegenerateBezier,-3.787,3.882,-3.347,3.881,0.44000136449136257
